Country,Year,Matches Played,Ace,Double Fault,Break Percent,Return Percent,Total,Winner,Error,Net Percent,TWinner
JPN,2013,5,5.6,4.2,45.6,42.8,129.2,39.4,50.4,74.4,0
JPN,2014,3,4.666666666666667,3.3333333333333335,54.666666666666664,51.0,121.33333333333333,34.666666666666664,34.666666666666664,61.0,0
KAZ,2009,1,9.0,3.0,45.0,46.0,102.0,39.0,21.0,71.0,0
KAZ,2010,3,3.3333333333333335,4.666666666666667,68.66666666666667,45.0,108.33333333333333,44.0,25.666666666666668,73.0,0
KAZ,2012,4,6.75,3.75,44.75,44.75,149.5,31.5,34.5,55.0,0
LTU,2011,2,7.5,1.0,48.5,51.5,82.0,29.5,28.0,63.0,0
LTU,2013,2,5.5,1.5,41.5,43.0,103.0,21.0,10.5,67.0,0
NED,2004,3,2.0,2.6666666666666665,49.0,46.333333333333336,114.66666666666667,20.0,25.666666666666668,67.33333333333333,0
NED,2005,1,9.0,1.0,80.0,40.0,90.0,31.0,17.0,64.0,0
NED,2006,1,7.0,5.0,38.0,39.0,114.0,29.0,53.0,74.0,0
NED,2011,2,6.0,4.0,55.0,42.5,127.0,54.0,46.0,68.0,0
POL,2011,1,7.0,8.0,54.0,40.0,175.0,75.0,47.0,71.0,0
POL,2013,2,13.5,8.0,56.0,43.0,140.0,61.0,63.0,57.5,0
POL,2014,3,16.0,5.333333333333333,48.666666666666664,38.0,136.0,46.666666666666664,37.0,64.0,0
ROU,2004,3,11.0,2.0,44.666666666666664,40.666666666666664,145.33333333333334,56.666666666666664,27.0,64.66666666666667,0
ROU,2005,2,7.5,0.5,46.5,43.5,106.0,34.0,21.0,67.0,0
ROU,2006,1,0.0,3.0,27.0,39.0,161.0,44.0,55.0,69.0,0
ROU,2014,1,9.0,4.0,33.0,37.0,121.0,24.0,34.0,83.0,0
RSA,2004,2,6.5,1.0,28.0,41.0,130.5,56.0,47.5,61.0,0
RSA,2006,1,21.0,9.0,25.0,35.0,139.0,56.0,40.0,46.0,0
RSA,2013,3,12.333333333333334,2.6666666666666665,39.333333333333336,37.333333333333336,132.66666666666666,49.666666666666664,36.666666666666664,57.0,0
RSA,2014,3,21.0,6.666666666666667,35.333333333333336,33.333333333333336,135.0,44.333333333333336,33.333333333333336,76.5,0
RUS,2004,7,19.0,2.142857142857143,38.857142857142854,36.0,149.28571428571428,59.57142857142857,45.714285714285715,62.285714285714285,0
RUS,2005,13,10.076923076923077,1.8461538461538463,52.53846153846154,44.38461538461539,112.38461538461539,38.61538461538461,34.53846153846154,66.92307692307692,1
RUS,2006,8,5.5,4.25,49.5,41.125,147.5,42.875,42.5,64.0,0
RUS,2007,9,12.0,4.333333333333333,46.666666666666664,42.0,123.44444444444444,45.333333333333336,33.333333333333336,68.11111111111111,0
RUS,2008,11,5.363636363636363,2.727272727272727,59.54545454545455,44.36363636363637,113.45454545454545,26.25,28.125,74.0,0
